title,description,skills,company_name,location,min_salary,max_salary,formatted_work_type,remote_allowed,formatted_experience_level,applies
Webmethods Developer,"Job Title : Webmethods DeveloperLocation : Cleveland, OH
Details :Must have technical skillsWebmethods development experience using SoftwareAG Integration Server, Designer, Universal messaging, MWS, TN.Atleast 1 RDBMS system (Oracle or SQL Server).Familiarity with SOAPUI, Kibana.Ability to work with various non-technical / technical teams to understand and document Integration specific requirements.Create high level/ detailed design documents specific to webMethods portion of work.Ability to present designs in technical meetings.Good to have APIGEE/Java/Kafka knowledge is a plus.Knowledge on WM integration with mainframe/salesforce/google cloud is a plus.",,Siri InfoSolutions Inc,"Cleveland, OH",,,Full-time,,,2
Exercise Physiologist,"Company DescriptionHouston Cancer Institute PA is a premier oncology institute with multiple locations in Houston, TX. Led by highly qualified physicians certified by the American Board of Medical Oncology, Hematology, and Internal Medicine, the team provides compassionate care and specialized diagnostic testing and treatments for patients with various types of cancer. The institute utilizes state-of-the-art technology, including molecular and genomic testing, to offer individualized treatment plans. They also provide support services, genetic testing, and PET-CT scanning. Houston Cancer Institute is dedicated to improving disease management and overall well-being for their patients.
Role DescriptionAs part of our preventative medicine and early detection program, we are seeking to hire a part-time OR full time Exercise Physiologist. The Exercise Physiologist will be responsible for conducting testing, including but not limited to, stress tests, VO2 max tests, and other metabolic tests. The Exercise Physiologist will also be responsible for providing exercise prescription and/or rehabilitation services. They will work closely with patients to develop and implement personalized exercise programs to improve physical fitness and overall well-being.
QualificationsExpertise in Cardiac Rehabilitation and Exercise PhysiologyExperience in Exercise Prescription and RehabilitationStrong knowledge of physiology and its application to exerciseExcellent interpersonal and communication skillsAbility to work effectively as part of a multidisciplinary teamBachelor's or Master's degree in Exercise Physiology or related field",,"Houston Cancer Institute, PA","Houston, TX",,,Part-time,,,4
AWS Cloud Architect (W2 Only),"Role: AWS Cloud ArchitectLocation: NYC NY3 Days Hybrid from Day 1Client: JefferiesLooks for 17+ years of experience.
We need expert in AWS.
Important Pointers: Candidate should have strong SRE (Site Reliability Engineer) background.Recent at least 8-10+ years from Infrastructure background.Expert in DevOps like Terraform, Docker, Container etc / SRE.Expert in AWS like AWS VPC Networking, AWS Control Panel, Landing Zone etcHe should be able to migrate on prem infrastructure services to AWS.He should be able to create various automation template for reusability using tech stack like Terraform, Cloudformation, Bash, Powershell etcHe should be an expert on understanding various AWS storage services and there use cases.
QualificationsAdvanced cloud implementation experience using compute, storage, networking, and security services and cloud native best practices on AWS.Proven background working in an enterprise IT environment.Familiar with IaC tools, Terraform, CloudFormationDesign capabilities aligned with the well-architected framework.EC2, Unix/Linux, User Data, AnsibleKubernetes, ServerlessExperience with Kafka a plus.Networking and Security Identity and Access Management (IAM)Python, DockerExperience collaborating with Infrastructure and Application teams.Self-disciplined, self-starter who can provide leadership and mentor others while resolving complex incidents and delivering projects.Knowledge of SDLC and CI/CD best practices Azure experience not required, but nice to have. 
ResponsibilitiesDesign, build, and maintain CI/CD pipelines that deploy customers’ applications to cloud infrastructure while promoting security and cloud computing best practices.Use infrastructure as code tools to automate immutable infrastructure.Manage, configuration, administration, and maintain AWS services.Provide guidance to Application and Business teams on infrastructure design decisions.Collaborate and liaise with various technical teams on escalations, development of cloud and managed services.Drive DevOps team process improvement with Enterprise IT cloud management capabilities.Identify opportunities for threat management, and critical upgrades.Utilize enterprise SaaS products to align with business technology needs.Continuously learn to keep up with industry trends and best practices.Manage multiple projects simultaneously and can adapt to changing business needs.Work well with cross functional global and remote teams.


Best Regards, Swarnalath Bathi IT Recruiter | iPivot LLC +1 732-924-8257 | latha@ipivot.io LinkedIn I'd : https://www.linkedin.com/in/swarnalatha-bathi-2b2a92218/ https://www.ipivot.io |405 Ridge Rd, Dayton – New Jersey 08810.
",,iPivot,"New York, NY",,,Contract,,,3
Software Engineer in Test Automation,"Must Have: · 10 -12 years of experience with various automation tools and technologies· Design, build, and maintain efficient, reusable, and reliable C# code with Visual Studio or other IDEs· Expertise in working with JSON objects. · Experience in working with inserting data onto the SQL tables using stored procedures · Experience in utilizing SQL Server for Performance Tuning, Query Optimization· Write and optimize complex SQL statements for DB Validations· Tableau Dashboard development and validation for ensuring data correctness. · Experience with Java, Selenium WebDriver Automation frameworks· Experience handling Jira APIs. Design, build GraphQL schemas. Contribute to the development of GraphQL APIs · Must have experience with CI/CD ceremonies pipeline using Jenkins or GitLab· 3+ years of experience with Mobile automation using Appium or SeeTest for Android and iOS devices· Experience in BDD tools such as JBehave or Cucumber and CI Tools like Jenkins· Experience with developing Automation frameworks and enhancing automation frameworks is MUST· Strong understanding and Programming experience in Core Java & object-oriented concepts· Strong coding experience with Python language to develop automation scripts· Strong experience with Webservices automation using Rest Assured or Karate automation framework· Strong Problem-solving skills, with the ability to manage priorities, set expectations to get things done· Strong Knowledge of Page Object Model. Communicate defects and verify fixes within each increment.· Ability to perform troubleshooting, root-cause analysis, solution development, and implementation within specific technology areas.

Nice to have: · Experience with source code revision control systems like GIT.· Experience with build tools like Maven or Gradle.· Expertise with stubbing and mocking of the test data.· Scope and estimate the test automation effort for user stories and their acceptance criteria.· Experience participating in all Agile (standups, sprint planning, backlog refinement, story grooming, reviews, and retrospectives)· Good understanding of web development and related technologies - HTML, JavaScript, CSS.· Ability to analyze and resolve problems of moderate to high complexity, requiring strong knowledge of systems and software technologies.
Soft skills: · Strong partnering, negotiation, and communication skills in working with Business Customers and Technology support.· Able to develop, present, and effectively communicate ideas and strategies in both technical and user-friendly language to a variety of audiences.· Additional skills include, but are not limited to strong written, oral and interpersonal communications skills and strong analytical/creative problem-solving skills.· Ability to work effectively in a fast-paced, team-based, Customer service-oriented environment with a high regard for hospitality.",,Qentelli,"Dallas, TX",,,Full-time,,,46
Project Manager," Contri Construction Company has an immediate opening for a Project Manager in the heavy civil construction industry. The Project Manager will be responsible for job site management and oversee construction projects' administrative and technical aspects. Contri Construction Company is a heavy civil contractor established in 1970 and based out of Las Vegas, Nevada, specializing in large diameter wet utilities. Major Responsibilities: · Manage project administration systems and assigned job site personnel· Ensure proper job controls (quantities, costs, revenue and schedule)· Establish and maintain working relationships with owners, agencies, subcontractors, corporate management, inspectors, etc., providing customer service to develop long-term partnerships with client base· Manage financial aspects of contracts (progress billing, expenses, job costing)· Prepare change order quotations for submission to clients· Ensure contract compliance and quality control· Ensure accurate construction reporting for the project· Prepare subcontracts and purchase orders· Generate and maintain/update project schedule  Requirements: · BS degree in Civil Engineering, Construction Management, Business Administration, or related field or equivalent work experience in heavy civil construction.· Minimum of ten (10) years’ heavy civil experience in either private or public environments, with a preference on wet utilities.· Knowledge of heavy civil construction practices (wet utilities, grading, concrete and paving).· Ability to read and analyze contract plans, specifications, and contractual documents.· Applicant must be a motivated individual who can operate independently and thrive in a busy environment.· Detail oriented, with good organizational and time management skills.· Strong interpersonal, written, and verbal communication skills· Experience with CAD, Excel, Word, HeavyBid, Outlook, Adobe, Topcon 3-D Office, Microsoft Project, and Bluebeam preferred but not necessarily required. Ability to quickly learn new software required.
Job Type: Full-time Pay: Extremely competitive. Negotiable, based upon experience level and education. Benefits:Contri-sponsored Profit-Sharing Program Health, dental, and vision insurancePaid holidays, vacation, and sick days Company vehicle with fuel following probationary period and passing driving history checkCompany cell phoneRelocation assistance negotiable
",,CONTRI CONSTRUCTION COMPANY,"Las Vegas, NV",,,Full-time,,,6
Junior Engineer - [Full Remote],"Our goal is to help every recent graduate worldwide find a job that aligns with their ambitions: join us to make the aspirations of a community of over 650,000 users come true!
We are constantly looking for students and graduates who aspire to join our team: apply for this position and you will be contacted by our HR as soon as we open a position in this area and your CV is suitable with the profile sought.
For all Junior positions as Engineer we offer a 6 months internship contract ($85,000 per year), you will have the opportunity to grow exponentially thanks to on-the-job training, you will be able to work fully remote for as long as you want and we will equip you with a latest generation MacBook.
We are coming to the US! If you would like to help Joinrs grow in your country, send your CV for this announcement: if your profile fits one of our future positions, we will contact you ;) 

You will take care of:Plan, coordinate, and oversee the entire lifecycle of assigned projects, from initiation to completion, ensuring efficient and goal-oriented management.
Design and Development of Components: You will be involved in designing and developing key components for our projects. You'll have the opportunity to apply your technical knowledge to contribute to the creation of innovative solutions.
Testing and Evaluation of Prototypes: Actively participate in testing and evaluating prototypes, analyzing performance and reliability. Learn to identify and resolve any issues, contributing to the refinement of products.
Collaboration with the Development Team: Work closely with the coding team to ensure projects are efficiently executed and meet quality standards. Learn to coordinate with various business functions for project success.
Data Analysis and Performance Optimization: Conduct in-depth data analysis to assess project performance and identify areas for optimization. Contribute to the continuous improvement of proposed technical solutions.
Research and Implementation of New Technologies: Work closely with the CTO in researching and implementing new technologies relevant to the industry. Have the opportunity to stay updated on the latest innovations and contribute to the technological evolution of the company.
Participation in Project Meetings and Brainstorming: Actively participate in project meetings and brainstorming sessions, providing your input to discussions and collaborating with the team to develop creative and functional solutions.Support the Tech team in the development of the website and app, if you have technical skills. 

What We Offer:Working in the Joinrs team means being able to choose the best psychophysical conditions for tranquility and productivity. This translates into:Remote working and flexibility. You'll have the opportunity to work remotely full-time, but you can also use one of our offices.
Dynamic work environment. Our offices remain open, providing shared workspaces, meeting rooms, break areas, and a bar with fresh fruit and various snacks. You'll also find a foosball table and a gaming station. We aim for an informal work environment that encourages shared moments, always respecting individual activities.
Team building & fun. We frequently organize aperitifs, games, and leisure moments, which are integral parts of life at Joinrs, both inside and outside the office.
Company welfare. We guarantee you a company welfare package that meets your expectations.
Tech pack. You'll use advanced software and modern technologies, and you'll be provided with the latest-generation MacBook.
Training. You'll always have a mentor in your Joinrs journey, acting as a reference for both technical and team aspects. We ensure constant professional growth with progressively increasing responsibilities. You can participate in industry events and training courses, along with continuous education on the best e-learning platforms.
Social Impact. Your contribution will support thousands of recent graduates in finding the job they aspire to.


 Who We Are:Our mission is to support every recent graduate in achieving their ambitions, allowing them to embark on their new career with the optimism of a clear perspective.
We are a united team that strongly believes in teamwork: together, we work, discuss, and achieve results that inspire us to reach increasingly ambitious goals.
Our community has over 650,000 members in Italy, the US, UK, Spain, Brazil, France, Portugal, and Germany, including 250 companies such as PwC, Unilever, Gi Group, Danone, Siemens. It's growing exponentially - join us! 

Contract & Compensation:For all Junior positions we offer a 6-month internship contract with a salary of $85,000 yearly, aiming for a permanent contract.
The annual base salary is $85,000 (USD) which will be prorated based on internship start and end date. Actual compensation offered to the successful candidate may vary from posted hiring based upon geographic location, work experience, education, and/or skill level, among other things.
Salary reviews are scheduled every six months, with your compensation increasing rapidly as you gain experience and translate it into a more significant impact. 

Selection Process:CV Screening: The first step is a curriculum vitae (CV) screening (usually within 20 days of application).Phone Interview: The second step involves a 15-minute phone interview with our HR Manager.Video Interview: The final step is a video interview with both the HR Manager and your future supervisor, lasting at least 45 minutes. 
Why Join Our Team?Social Impact: You'll have the opportunity to support our community in realizing their ambitions, as well as your own.Successful Startup: Joinrs was selected among the top 10 startups globally at the Web Summit in Lisbon.Exponential Personal Growth: You'll have the opportunity for exponential growth, both in hard and soft skills, thanks to a training program based on on-the-job training and online support. ",,Joinrs US,United States,,,Full-time,1.0,,39
Sustaining Engineer,"Sustaining Engineer 
Desired Traits: Austere, Customer Focused, Accountable 
What is a Sustaining Engineer?The Sustaining Engineer, part of our engineering team, is responsible for improvements to existing products to increase reliability, reduce cost, or add functionality. 
In this role, you will:· Make engineering improvements / modifications to existing products· Respond to customer inquiries in a timely and professional manner· Prepare, revise, approve and distribute engineering documentation· Perform design analysis, design review and design verification on modified and existing products· Review domestic and international orders for engineering and quality requirements· Setup bill of materials for products to meet Downing design and API industry standards· Write reports, business correspondence and procedure manualsRequired and Preferred Abilities:· Engineering 3D design capability including proficiency in CAD design· Solidworks experience preferred but not required· Highly proficient in drafting· Knowledge of control systems and automation preferred· Innovative mindset with ability to imagine new ways of solving customer issues· Define problems, collect data, establish facts, and draw valid conclusions· Interpret an extensive variety of technical instructions in a mathematical or diagram form and deal with several  abstract and concrete variables· Microsoft Office Suite· Effectively present information and respond to inquiries from customers· Exhibit a positive and “can do” attitude· Thrive in a fast-paced and dynamic working environmentWork Environment and Physical Requirements:· Operates in the office of an oil and gas service company manufacturing environment· Routinely use standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines· Regularly required to talk or hear· Frequently required to stand; walk; use hands to finger, handle or feel; and reach with hands and armsEducation· Mechanical Engineering degree required· Minimum Experience: 2 - 5 years
We pride ourselves in maintaining a safe and healthy environment for all employees. To gain employment, candidate will need to pass a hair follicle drug test and a background check once offer of employment has been accepted.",,Downing ,"Oklahoma City, OK",,,Full-time,,,5
General Manager,"Position Title: General Manager (GM) Chick-fil-A FLSA Status: Hourly Prepared Date: April 2024 Reports To: Operations Manager 
 Position Objective: This role of the General Manager is the overall management of store operations, including oversight of the planning, organizing, and training necessary to achieve stated objectives in sales, costs, profitability, employee retention, guest service and satisfaction, food quality, and cleanliness.
Position Responsibilities.· Demonstrate a passion for the business and managing the overall operations.· Find, train, develop, and recognize the best people.· Manage daily activities to ensure guests receive excellent customer service.· Demonstrate a strong awareness and concern for food quality and safety.· Adjust to multiple demands and shifting priorities. 
Work Environment· This position operates in a restaurant setting. The noise level in the work environment can be noisy. The employee may be exposed to hazards including, but not limited to, cuts, slipping, tripping, falls and burns. Frequent hand washing is required. 
Badging and Escort· The GM is responsible for the badging process for their restaurant. This process includes filling out and signing off on employees, delivery personnel, and contractor badging paperwork. The GM is also responsible for escorting persons who need to do business inside Chick-fil-A.
Food Safety, Handling, Planning and Preparation· Ensure that all food and products are consistently prepared and served according to Chick-fil-A’s recipes, portioning, cooking, and serving standards.· Estimate food needs, place orders with distributors, and schedule the delivery of fresh food and supplies.· Ensure compliance with operational standards, company policies, federal/state/local laws, and ordinances.· Uphold all ServSafe guidelines.· Uphold all Texas Health Presbyterian Hospital employment articles. 
Hiring and Training· Recruit, interview, and hire crew members at a competitive wage.· Manage procedures for proper orientation, training, retention, and coaching.· Ensure that feedback is given at every aspect of training, emphasizing healthy branding, wellbeing, quality, friendliness, speed, and cleanliness.· Continuously strive to develop staff in managerial and professional areas.· Make employment and termination decisions. 
 Operational Responsibilities· Understand and utilize policies, procedures, standards, specifications, guidelines, and training programs to develop a safe working and guest environment to reduce the risk of injury and accidents.· Manage shifts through daily decision-making, system tools, scheduling, and planning while upholding standards, product quality, and cleanliness.· Repair and maintenance: the GM is responsible for keeping all equipment clean and in working order. The GM is also responsible for scheduling routine and emergency equipment repair and maintenance.· Ensure guest service standards and efficient operations always meet guest expectations.· Investigate and resolve complaints concerning food quality and service-related issues using: Listen – Apologize –Solve – Thank· Responsible for every aspect of restaurant operations • Takes care of stock, staff, and sales management • Training and supervising staff • Managing budgets • Maintaining financial and statistical records • Dealing with customer complaints and queries • Maximizing profitability and productivity • Motivating staff to meet sales goals • Setting sales goals • Ensuring compliance with food safety and health regulations • Liaising with the Operations Manager • Safely opening/closing the store • Properly managing all cash-handling procedures
Essential RoleGuest awareness • Confidence • Resourcefulness • Organizational skills • Teamworking skills • Verbal communication skills • Numerical skills • Excellent IT skills • Enthusiasm • Executive skills • Critical thinking skills • Showing initiative • Setting a good example. 
Administration / Marketing· The local store marketing plan must be in place with a focus on reaching out to new customers and retaining current guests. [Pie Marketing]· Complete administrative tasks, such as forms, reports, and schedules, in an organized and timely manner.· Control cash and other receipts by adhering to cash handling and reconciliation procedures in accordance with restaurant policies and procedures.· Understand and utilize sales projections, profit, and loss, and breakeven.· Other duties may be assigned by management. 
Position Requirements· 4 or more years of restaurant management experience (fast food/QSR management experience preferred.)· Must have reliable transportation and a valid driver's license.· Must be able to pass a criminal background check and drug screen.· Be able to work in a demanding environment, exhibit a sense of urgency and work on your feet.· Have a neat, clean, and professional appearance.· Willingness to work a flexible schedule, including weekdays and Saturdays.· The position may require occasional lifting of products to waist level up to fifty pounds.· The position also requires frequent bending, kneeling, standing, and walking for extended periods.· Valid and current ServSafe Manager Certification or equivalent accreditation.
",,Chick-fil-A Restaurants,"Dallas–Fort Worth metroplex, TX",,,Full-time,,,4
Account Executive,"One Step Software provides software to over 1,000 mental health and addiction clinics. We are looking to hire people who have experience selling to health clinics and want to join our collaborative, smart and high achieving team!
You should be a self starter, smart, curious, motivated and excited to join a startup. We provide you with a training program where you learn about our industry and our product. If you already know the basics of sales, we can teach you everything else in order to set you up for success!
You will be responsible for outbound sales - cold calling, booking demos and following up with interested parties.
Minimum Requirements:2+ years experience in a customer facing roleProficient in cold callingExcellent organizational skillsExcellent CRM skills Excellent communication skillsAbility to manage your own timeThirst for learningSelf motivated
Responsibilities:Make cold callsSend email campaigns and reach out to prospective leads on LinkedInBuild a pipeline of prospective leads Meet quotaBook demos",,One Step Software,"New York, NY",,,Full-time,1.0,,31
"100% commission Marketers for TV Doc ""The 40 Parables""","DescriptionRemote $2,000.00 and $ 5,000.00 commissions each See homepage for details.https://www.Jesus-parables.comCompany DescriptionWorldwide Publishers LLC USA is a global FOR-PROFIT publishing company that was founded on the principles of providing Christ-Centered Parables. As Jesus taught to the to the public, we also do in Parables only.(See Mark 4) 

 Our company has launched one of the greatest Biblical discoveries in 2000 years through producing the 1st documentary ever that is all Christ teaching His Kingdom ParablesCopy and paste for full info https://filmfreeway.com/RickSchmidt44 FOR 3 MIN TRAILER To find who are REALLY SERIOUS AND READING THIS Say in reply I have seen the 3 min trailer above

Role Description OWN HOURS ALWAYS REMOTEWe are seeking Affiliate Marketers for the 1st documentary ever all Jesus Christ teaching ""The 40 Parables."" This is a remote position. Part time or full time. The Marketers will be responsible for promoting and advertising to a global audience USING MANY AFFILIATE TRACKED PRE-MADE TV SPOTS , BANNERS, AND MUCH MORE They will work closely with the production team to develop and implement marketing strategies, create compelling social media content, and engage with potential viewers.See 2 Christ affiliate opportunities http:// www.Jesus-parables.comReceive $2,000.00 and $ 5,000.00 commissions each See homepage above for details.FULL DETAILS AND 3 MIN TRAILER https://filmfreeway.com/RickSchmidt44 or call 800-991 SOUL PST USAIndustryInternet Publishing

Contract",,Worldwide Publishers LLC USA,United States,,,Contract,1.0,,1
Medical Doctor,"Are you a Medical Doctor who feels overwhelmed by patient load, charting, CME’s and the sheer amount of new data? Imagine a position within a concierge integrative practice that provides ongoing functional medicine training by top industry professionals, has a collaborative teaming environment, and is supported by the cutting-edge technologies to help synthesize new data into usable and applicable solutions. Maximize your potential in this remote role, tailoring your work schedule to your preferences. Directly engage with genetic and advanced metabolomics testing and applications, propelling your medical career by being at the forefront of technology and embracing innovative practices that set you apart from others, while collaborating with physicians, genetic nutritionists, and medical support staff. Your contributions fuel change, foster innovation, and positively impact individuals worldwide.
Discover the fulfillment of personalized patient care, engage in groundbreaking research, and find renewed inspiration in your medical career!
As GenMedx continues to expand, fueled by the backing of the Nutritional Genomics Institute (NGI) and OmicsDx, we are actively searching for a Medical Doctor to join our team. This part-time remote position is centered in California, Virginia, or Maryland and offers an exceptional opportunity to be at the forefront of functional medicine including pharmacogenomics, nutritional genomics, and functional diagnostic nutrition.
If you have at least 10 years of experience as a DO or MD, this is an opportunity you need to explore! 
Click apply or send your information to: Office@NGIva.com
Why Join the GenMedx Team:· Competitive Compensation: $250 - $275/hr (earn $150,000+ annually) + $2000/month ($2000 stipend per month for the Medical Director Position when all three states are licensed) · Support of relicensing fees, advanced training, and malpractice insurance in the maintained states.· Work-Life Balance: Our flexible scheduling options allow you to regain control of your work-life balance, with no more than 3 patients per day, ensuring you have time for self-care and pursuits beyond the medical world! Our appointments are scheduled in 1–2-hour increments. · Personalized & Compassionate Patient Care: Embrace a patient-centered model that considers each individual's unique genetic predispositions, nutritional requirements, and health goals. By joining our team, you'll have the opportunity to reconnect with your passion for patient care. With a manageable patient load, you'll be able to devote the time and attention needed to provide truly personalized care that makes a lasting impact on your patients' lives.· Cutting-Edge Research: Engage in groundbreaking research that bridges the gap between genetics, nutrition, and medicine. Collaborate with a multidisciplinary team of physicians, nutritionists, and researchers to contribute to the growing body of knowledge in Nutritional Genomics and Functional Medicine.· Team Collaboration: Join a community of like-minded colleagues in a rapidly growing organization who value open communication, knowledge sharing, and mutual support.
About the Company: At NGI, GenMedx and OmicsDx, our providers combine the standard approach of medicine using blood chemistry and symptomology with a highly advanced functional medicine twist. Using cutting-edge technology and evidence-based practices, we incorporate the intricate biochemical nuances within the genome, epigenome, metabolome, and microbiome into every patient's treatment. We believe in the power of understanding how our genetics, nutrition, environment, and experiences work together to influence our health.
All qualified applicants will receive consideration for employment without regard to the individual's race, color, sex, national origin, religion, age, disability, genetic information, status as a military veteran or any other characteristic protected by applicable law.
Website: https://www.ngigenmedx.com/

",,,"California, United States",250.0,275.0,Part-time,1.0,,35
Marketing Manager,"Our StoryTHE WELL is your one-stop shop for wellness. We integrate modern medicine and ancient healing, focusing on whole-person care. Our services, products and experiences address the physical, mental and spiritual aspects of well-being to help you feel your best. We started THE WELL to help you make wellness part of your every day — whether it’s kicking off a meditation practice or tackling a chronic health condition. Whatever your path may be, we’re here to guide you.
THE WELL New YorkAdjacent to Union Square Park and just steps away from Fifth Avenue, THE WELL New York is an integrated wellness center in the heart of New York City. The 13,000-square-foot space brings together modern medicine and ancient healing practices that focus on whole-person health. The brand’s flagship location includes a full-service spa (featuring a steam room, dry and infrared saunas, as well as treatment rooms for bodywork and skin care), a functional medicine practice and health coaching, Chinese medicine and acupuncture, an organic wellness café, yoga and meditation studios, a foot rub and IV therapy lounge and an innovative posture lab. Every detail of THE WELL — thoughtful design, abundant amenities, expert-vetted products, well-sourced ingredients and more — is meant to help you make wellness part of your every day. 
Location: 2 East 15th Street, New York, NY 10003
MARKETING MANAGERThe Marketing Manager supports the VP of Brand & Marketing in the planning & execution of marketing strategies for THE WELL brand and our Flagship location, THE WELL New York. This role assists in the development, management, execution and measurement of all aspects of the marketing, communications and branding strategies — including but not limited to social media, websites, public relations, advertising, collateral, video / photography assets, graphic design, etc. — that maximizes exposure in order to increase revenue, grow membership and maintain NPS goals.
This role reports to the VP of Brand & Marketing. This is a remote, but NYC-based position that requires the ability to be at our NY location on occasion to oversee the successful implementation of key activations and marketing strategies.
If you have a drive for success, a passion for wellness, a strong desire to work in a growing startup and are looking for a new and exciting career opportunity in design we want to hear from you.
The ResponsibilitiesSupport and maintain sales & marketing strategies to meet key financial and brand objectives as well as maintain/enhance the image of THE WELL brand and THE WELL New YorkEvaluate guests' feedback, market conditions and competitor information to continually improve brand and marketing strategiesCoordinate and manage the execution of all marketing, advertising, promotional activities and social media campaignsWork closely with key department leads to develop branded materials, creative collateral and seasonal promotions (eg. signage, sales collateral, etc.)Manage content creation and coordinate photo/video shoots for THE WELL New York in partnership with Art DirectorManage all in-space messaging to members and guests including, but not limited to: front desk signage, electronic signage, in-space printed collateral, member newsletters, on-hold messages, confirmation emails, etc.Manage website's content management system to ensure information accuracyManage Google Business Listings in partnership with SEO team to ensure information accuracyAssist in managing all marketing agencies (includes: public relations, email marketing, social media, paid media, SEO) and compile / distribute monthly reportingPartner with Sales team to execute promotions and campaigns to target members, past guests and local community Serve as point of contact for Friends of THE WELL ambassador/influencer programOversee influencer and media visits, liaising with Operations Team to deliver the best possible experienceMake recommendations for future testing / optimization on offer, copy / messaging, targeting and segmentation, creative and communication touchpointsReport on and analyze the efficiency of strategies; evaluate results in the context of broader business goals; and make recommendations on how to move the business forward The Person We NeedBachelor's degree in Marketing or related field3-6 years of experience in Marketing and Communications — ideally in hospitality, fitness or or wellness industriesDemonstrated ability to develop and maintain relationships with external and internal contacts (i.e. General Manager, Sales leadership, Media Representatives, Public Relations firms)Excellent communication and interpersonal skills with the ability to collaborate effectively with cross-functional teamsDemonstrated ability to develop and implement successful marketing strategies for individual hotels, including ROI / KPI metricsProficiency with creative programs such as Adobe Photoshop, Adobe Illustrator, CanvaAbility to multitask effectively, managing multiple projects while being cognizant of deadlines and priorities Benefits & PerksComprehensive benefits package including Medical, Dental, Vision & Supplemental Voluntary Insurance PlansFull-time & part-time paid time offCommuter benefitsPaid maternity & paternity leavePerks, gym & multiple service discountsProfessional development workshops & EAPCollaborative & pet-friendly HQ work environment Electronic StipendCompetitive salary and benefits packageOpportunities for professional growth and career advancementA supportive and inclusive work environment that values creativity and innovationThe chance to make a meaningful impact on the well-being of our clients through exceptional design experiences Salary Range$70,000 - $85,000",,THE WELL,New York City Metropolitan Area,70000.0,85000.0,Full-time,,,22
Account Manager,"The ideal candidate will be able to appropriately identify the needs current customers in order to aid customers in their success using our services. This will be done by developing an appropriate level of communication with clients and internal team members to better understand and mitigate any issues the customers may face. The ideal candidate will be able to troubleshoot day-to-day problems or issues pertaining to existing customer accounts and clients that require a high attention to detail. This role is responsible for the review of requests submitted to the Energy Procurement and Operations teams, via a shared inbox or through direct outreach. This person will apply any problem solving skills and intermediate customer support experience to resolve non-technical concerns, and for more technical concerns, will delegate the request to the proper team and maintain communication and final resolution with the client.  ResponsibilitiesWork cross functionally within the company to communicate with all stakeholders in customers' success and maintain work flow progress through other departmentsCreate and maintain relationships with customers to better understand and achieve their needsProvide consistent, professional, courteous and rapid responses to clientsManage monthly project tracking of inquires and resolutions and maintain savings reportsAct as main point of contact and resolve problems by clarifying issues; research and explore answers; implement solutions and escalate more challenging concerns
QualificationsPrevious account management experienceArticulate and well accustomed to a client facing roleAbility to communicate effectively using Microsoft Office suite and other software and web-based applications; Microsoft Project a plusAble to multi-task, manage multiple workloads, take accountability and deliver results to meet competing priorities",,Burton Energy Group,"Alpharetta, GA",,,Full-time,,,27
